Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Date,Month,Branch Name,Dealer Name ,Country_ID,Product_Name,Country_Name
BR0001,DLR0001,BMW-M1,13363978,2,DT00001,1/1/2017,01,AC Cars Motors,AC Cars Motors,CNTR001,BMW, Afghanistan
BR0011,DLR0002,BMW-M2,19979446,2,DT00002,1/2/2017,01,Acura Motors,Acura Motors,CNTR002,BMW, Akrotiri and Dhekelia (UK)
BR0021,DLR0004,BMW-M4,18118773,3,DT00003,1/3/2017,01,Aixam-Mega (including Arola) Motors,Aixam-Mega (including Arola) Motors,CNTR003,BMW, Åland Islands (Finland)
BR0031,DLR0005,BMW-M5,12322500,3,DT00004,1/4/2017,01,Alfa Romeo Motors,Alfa Romeo Motors,CNTR004,BMW, Albania
BR0041,DLR0006,Mer-M6,1196976,1,DT00005,1/5/2017,01,Alpine Motors,Alpine Motors,CNTR005,BMW, Algeria
BR0051,DLR0007,Mer-M7,28254609,3,DT00006,1/6/2017,01,Alvis Motors,Alvis Motors,CNTR006,Mercedes-Benz, American Samoa (US)
BR0061,DLR0008,Mer-M8,6083151,1,DT00007,1/7/2017,01,"AMC, Eagle Motors","AMC, Eagle Motors",CNTR007,Mercedes-Benz, Andorra
BR0071,DLR0009,Dod-M9,24665256,3,DT00008,1/8/2017,01,Anadol Motors,Anadol Motors,CNTR008,Mercedes-Benz, Angola
BR0081,DLR0011,Jee-M11,8534145,3,DT00009,1/9/2017,01,Ariel Motors,Ariel Motors,CNTR009,Dodge, Anguilla (UK)
BR0091,DLR0012,Jee-M12,24760575,3,DT00010,1/10/2017,01,ARO Motors,ARO Motors,CNTR010,Jeep, Antigua and Barbuda
BR0101,DLR0013,Jee-M13,3450696,1,DT00011,1/11/2017,01,Artega Motors,Artega Motors,CNTR011,Jeep, Argentina
BR0111,DLR0016,For-M16,20974905,3,DT00012,1/12/2017,01,Asia Motors Motors,Asia Motors Motors,CNTR012,Jeep, Armenia
BR0121,DLR0017,For-M17,2221530,1,DT00013,1/13/2017,01,Aston Martin Motors,Aston Martin Motors,CNTR013,Jeep, Artsakh
BR0131,DLR0018,For-M18,11329482,3,DT00014,1/14/2017,01,Audi Motors,Audi Motors,CNTR014,Ram, Aruba (Netherlands)
BR0141,DLR0019,For-M19,7053423,3,DT00015,1/15/2017,01,Autobianchi Motors,Autobianchi Motors,CNTR015,Ram, Australia
BR0151,DLR0020,For-M20,28232232,3,DT00016,1/16/2017,01,Auto-Union Motors,Auto-Union Motors,CNTR016,Ford, Austria
BR0161,DLR0022,For-M22,5440414,1,DT00017,1/17/2017,01,Auverland Motors,Auverland Motors,CNTR017,Ford, Azerbaijan
BR0171,DLR0023,For-M23,4988693,1,DT00018,1/18/2017,01,Bentley Motors,Bentley Motors,CNTR018,Ford, Bahamas
BR0181,DLR0024,For-M24,7900452,1,DT00019,1/19/2017,01,Bitter Motors,Bitter Motors,CNTR019,Ford, Bahrain
BR0191,DLR0026,For-M26,6866014,2,DT00020,1/20/2017,01,BMW Motors,BMW Motors,CNTR020,Ford, Bangladesh
BR0201,DLR0028,Lin-M28,6197509,1,DT00021,1/21/2017,01,Bond Motors,Bond Motors,CNTR021,Ford, Barbados
BR0211,DLR0030,Lin-M30,16295156,2,DT00022,1/22/2017,01,Borgward (including Goliath and Lloyd) Motors,Borgward (including Goliath and Lloyd) Motors,CNTR022,Ford, Belarus
BR0221,DLR0031,Bui-M31,6873658,1,DT00023,1/23/2017,01,Bristol Motors,Bristol Motors,CNTR023,Ford, Belgium
